[ 남양주진건지구S-1BL공동주택건설공사 ],,,,,,,,,,,,,,,,
품      명,규      격,단위,내     역     서,,,,,,,,,비  고,,,,
,,,수량,재  료  비,,노  무  비,,경      비,,합      계,,,,,,
,,,,단  가,금  액,단  가,금  액,단  가,금  액,단  가,금  액,,,,,
010101  공통 가설 공사,,,,,,,,,,,,,,,,
임시전력비(기본요금),1년이하,KWH,"2,280","6,072","13,844,160",-,-,-,-,"6,072","13,844,160",,,,,
임시전력비(기본요금),1년초과,KWH,"2,829","6,072","17,177,688",-,-,-,-,"6,072","17,177,688",,,,,
임시전력비(전력량요금),1년이하,KWH,"231,438",77,"17,820,726",-,-,-,-,77,"17,820,726",,,,,
임시전력비(전력량요금),1년초과,KWH,"287,236",77,"22,117,172",-,-,-,-,77,"22,117,172",,,,,
동별표시판(시공비포함),회사명(단축),개소,-,"135,000",-,-,-,-,-,"135,000",-,,,,,
동별표시판(시공비포함),회사명(풀네임),개소,-,"300,000",-,-,-,-,-,"300,000",-,,,,,
동별표시판(시공비포함),회사명(그래픽),개소,-,"900,000",-,-,-,-,-,"900,000",-,,,,,
책임시공안내판,840X1600 (시공도),개소,-,"220,000",-,-,-,-,-,"220,000",-,,,,,
현장유도사인1(시공도),장방형 패널타입,개소,-,"1,320,000",-,-,-,-,-,"1,320,000",-,,,,,
현장유도사인2(시공도),지주대위패널부착타입,개소,-,"990,000",-,-,-,-,-,"990,000",-,,,,,
부조리신고 안내판(시공도),,개소,-,"715,000",-,-,-,-,-,"715,000",-,,,,,
현장안내사인3(시공도),조감도삽입 가설울타리 부착형 3000X2000,개소,-,"462,000",-,-,-,-,-,"462,000",-,,,,,
기성지급 현황 안내판(시공비 포함),,개소,-,"221,760",-,-,-,-,-,"221,760",-,,,,,
현장울타리사인,900x900(시공도),개소,-,"99,000",-,-,-,-,-,"99,000",-,,,,,
현장게이트사인,9800x700(상단),개소,-,"770,000",-,-,-,-,-,"770,000",-,,,,,
현장게이트사인,900x3900(좌우옆),개소,-,"605,000",-,-,-,-,-,"605,000",-,,,,,
현장게이트사인,6400x2000(그래픽),개소,-,"220,000",-,-,-,-,-,"220,000",-,,,,,
현장사무실ID표시판,14.4x1.2M(시공도),개소,-,"1,815,000",-,-,-,-,-,"1,815,000",-,,,,,
현장사무실현판(시공도),지주대위패널부착타입,개소,-,"770,000",-,-,-,-,-,"770,000",-,,,,,
현장휀스(홍보판),2000x4160(시공도),개소,-,"308,000",-,-,-,-,-,"308,000",-,,,,,
현장휀스(홍보판),2000x2000(시공도),개소,-,"275,000",-,-,-,-,-,"275,000",-,,,,,
현장휀스(홍보판),2000x1000(시공도),개소,-,"220,000",-,-,-,-,-,"220,000",-,,,,,
근로자용주차장 표시판,900X2100(시공도),개소,-,"328,900",-,-,-,-,-,"328,900",-,,,,,
현장 가설 CI 통합,울타리 및 가설사무실 상부,식,1,"10,000,000","10,000,000",-,-,-,-,"10,000,000","10,000,000",,,,,
준공도서CD-ROM복제,"문서35000,도면3000면당",장,7,"8,800","61,600",-,-,-,-,"8,800","61,600",,,,,
준공도서(문서),SCANNING 및 INDEX,매,"1,020",220,"224,400",-,-,-,-,220,"224,400",,,,,
준공도서(도면),SCANNING 및 INDEX,매,"1,315",990,"1,301,850",-,-,-,-,990,"1,301,850",,,,,
준공도서(문서)제작,INDEX(출력자료 및 이미지파일제공시),매,"8,290",121,"1,003,090",-,-,-,-,121,"1,003,090",,,,,
반사경 설치,D600(시공도),개소,-,"192,500",-,-,-,-,-,"192,500",-,,,,,
측벽그래픽(시공도),보통,개소,-,"770,000",-,-,-,-,-,"770,000",-,,,,,
측벽그래픽(시공도),단순,개소,-,"660,000",-,-,-,-,-,"660,000",-,,,,,
가설용 간이소변기(설치도),PVC제,개소,-,"44,035",-,-,-,-,-,"44,035",-,,,,,
이동식가설사무소(콘테이너),초고층,식,-,"996,931",-,-,-,-,-,"996,931",-,,,,,
동력가설비,저층200,식,1,"11,461,520","11,461,520",-,-,-,-,"11,461,520","11,461,520",,,,,
공사용수설치비,(폐공처리비 포함),식,1,"7,499,450","7,499,450",-,-,-,-,"7,499,450","7,499,450",,,,,
가설설비 통합,"지하수, 정수처리장치, 정화조시설,가설배관등",식,1,"85,409,761","85,409,761",-,-,-,-,"85,409,761","85,409,761",,,,,
자갈포설,두께10CM이하,M2,"12,672","1,243","15,751,296",-,-,-,-,"1,243","15,751,296",,,,,
기초설치해체비,12t주차장혼용파일,대,6,"4,200,000","25,200,000","2,100,000","12,600,000","10,292,574","61,755,444","16,592,574","99,555,444",,,,,
기초설치해체비,18t주차장혼용파일,대,1,"5,250,000","5,250,000","2,625,000","2,625,000","12,865,717","12,865,717","20,740,717","20,740,717",,,,,
기초설치해체비,"18t주차장혼용파일,L-type",대,-,"5,250,000",-,"2,625,000",-,"12,865,717",-,"20,740,717",-,,,,,
타워설치해체비,2단브레이싱,대,7,-,-,-,-,"18,146,335","127,024,345","18,146,335","127,024,345",,,,,
대당운반비,12t,대,6,-,-,-,-,"3,976,068","23,856,408","3,976,068","23,856,408",,,,,
대당운반비,18t,대,1,-,-,-,-,"4,970,086","4,970,086","4,970,086","4,970,086",,,,,
대당운반비,"18t,L-type",대,-,-,-,-,-,"4,970,086",-,"4,970,086",-,,,,,
타워크레인기초,7.5*7.5*1.7m,개소,7,"4,400,000","30,800,000","2,200,000","15,400,000","10,387,001","72,709,007","16,987,001","118,909,007",,,,,
타워크레인기초,"7.5*7.5*1.7m,L-type",개소,-,"4,400,000",-,"2,200,000",-,"10,387,001",-,"16,987,001",-,,,,,
시간당임대료,12t,시간,"14,462",-,-,-,-,"70,643","1,021,639,066","70,643","1,021,639,066",,,,,
시간당임대료,18t,시간,"4,821",-,-,-,-,"82,500","397,732,500","82,500","397,732,500",,,,,
이동식크레인 ,(타워크레인 미접근 구간),식,-,-,-,-,-,"60,844,139",-,"60,844,139",-,,,,,
폐기물분류시설설치,"24개월, 6칸",M2,-,"62,718",-,-,-,-,-,"62,718",-,,,,,
가설방음벽설치(플라스틱),"(H=6m,강관비계,3개월)",m,-,"94,514",-,-,-,-,-,"94,514",-,,,,,
가설휀스설치,"(H=3m,강관비계,EGI)",m,"1,099","94,514","103,870,886",-,-,-,-,"94,514","103,870,886",,,,,
감독관사무실,"다급단층,1500이상-5000미만,24개월,270M2,오수처리시설",식,1,"25,969,464","25,969,464",-,-,-,-,"25,969,464","25,969,464",,,,,
수급자용사무실,"3개월, 82M2",식,1,"9,066,003","9,066,003",-,-,-,-,"9,066,003","9,066,003",,,,,
가설작업헛간손료,(1년이상)(고층),M2,20,"24,900","498,000",-,-,-,-,"24,900","498,000",,,,,
근로자휴게시설,"가설천막형,24개월, 4mX8m, H=3m",식,2,"3,801,028","7,602,056",-,-,-,-,"3,801,028","7,602,056",,,,,
근로자휴게시설,"피로티형,24개월, 10mX10m, H=2.6m",식,1,"1,587,971","1,587,971",-,-,-,-,"1,587,971","1,587,971",,,,,
샤워 및 탈의시설,"(24개월, 18M2)",식,2,"6,355,307","12,710,614",-,-,-,-,"6,355,307","12,710,614",,,,,
