주   요   지   표 ,단   위,2013,2014,2015,2016,2017,2018,2019
인        구,백만 명,29.7,30.2,30.7,31.2,31.6,32,32..5
명목GDP,십억 달러,323.3,338.1,296.4,296.5,302.7,362.4,379
1인당 명목GDP,달러,"10,700","11,009","9,500","9,360","9,623","11,311","11,678"
실질성장률,%,4.7,6.5,5,4.2,4.8,5.1,5
실  업  률,%,3.2,2.8,3.2,3.4,6.3,3.3,3.2
소비자물가상승률,%,3.2,2.7,2.7,1.8,4.1,1.3,1.5
재정수지(GDP대비),%,5.4,4.4,4.4,0.9,6.3,-3.6,-3.3
총수출,백만 달러,"202,285","207,483","174,631","165,324","188,239",-,-
(對韓 수출),〃,"11,095","11,097","8,609","7,507","5,443",-,-
총수입,〃,"171,708","172,878","146,687","140,948","163,364",-,-
(對韓 수입),〃,"8,587","7,582","7,735","7,533","5,663",-,-
무 역 수 지,백만 달러,"30,577","34,605","27,944","24,377","24,875",-,-
경 상 수 지,〃,"11,205","14,847","9,068","6,921","6,698",-,-
환율(연평균),현지국/US$,3.28,3.5,4.29,4.49,4.3,4.06,4.14
해외직접투자,억 달러,17.1,16.4,10.5,8,5.5,-,-
외국인직접투자,억 달러,9.2,10.9,10.1,11.4,5.7,-,-
