주   요   지   표 ,단   위,2015,2016,2017,2018,2019
인        구,백만 명,91.68,92.64,93.64(a),94.58 (b),95.49 (b)
명목GDP,십억 달러,191.45,200.49,200.4,241,264.5
1인당 명목GDP,달러,"2,088","2,164","2,353(a)","2,548 (b)","2,769 (b)"
실질성장률,%,6.7,6.2,6.8(a),6.6 (b),6.5 (b)
실  업  률,%,2.4,2.4,2.20(a),2.20 (b),2..20 (b)
소비자물가상승률,%,0.63,2.05,3.5(a),3.2 (b),4.7 (b)
재정수지(GDP대비),%,-5.9,-6.5,-4.7(a),-4.7 (b),-4.7 (b)
총수출,백만 달러,"162,017","176,581","215,118(a)","249,900(b)","289,300(b)"
(對韓 수출),〃,"8,921","11,406","14,818(a)",-,-
총수입,〃,"165,570","174,804","213,006","238,500","278,200"
(對韓 수입),〃,"27,631","32,163","46,961(a)",-,-
무 역 수 지,백만 달러,"-3,554","1,777","2,111",-,-
경 상 수 지,십억 달러,-0.1,5.9,5.4,-,-
환율(연평균),VND/US$,"21,698","21,935","22,698 (a)",-,-
해외직접투자,억 달러,11,13.9,-,-,-
외국인직접투자,억 달러,11.8,12.6,14.1 (a),-,-
