주   요   지   표 ,단   위,2013,2014,2015,2016,2017,2018,2019
인        구,백만 명,5.4,5.5,5.5,5.6,5.6,5.7,5.7
명목GDP,십억 달러,304.5,311.6,304.1,309.8,323.9,349.7,367.8
1인당 명목GDP,달러,"56,389","56,959","54,940","55,241","57,713","61,767","64,413"
실질성장률,%,5.1,3.9,2.2,2.4,3.6,2.9,2.7
실  업  률,%,1.9,2,1.9,2.1,2.2,2.1,2.1
소비자물가상승률,%,2.4,1,-0.5,-0.5,0.6,1.2,1
재정수지(GDP대비),%,6.5,5.4,3.6,3.3,5.6,2.1,1.5
총수출,백만 달러,"410,368","409,789","346,701","329,910","373,367",NA,NA
(對韓 수출),〃,"16,629","16,697","14,499","14,514","16,750",NA,NA
총수입,〃,"373,122","366,268","296,799","283,043","327,803",NA,NA
(對韓 수입),〃,"24,051","21,602","18,192","17,003","16,173",NA,NA
무 역 수 지,백만 달러,"37,246","43,521","49,902","46,867","45,564",NA,NA
경 상 수 지,〃,"62,940","73,738","77,668","81,297","84,221",NA,NA
환율(연평균),S$/US$,0.8,0.79,0.73,0.72,0.72,NA,NA
해외직접투자,억 달러,"5,443","6,509","7,185","7,835",NA,NA,NA
외국인직접투자,억 싱달러,"9,052","11,123","12,671","13,595",NA,NA,NA
