주   요   지   표 ,단   위,2012,2013,2014,2015,2016,2017,2018
인        구,백만 명,248.2,250.8,253.3,255.8,258.2,262,262.9
명목GDP,십억 달러,917.7,912.3,890.5,861.1,932.1,"1,011","1,089"
1인당 명목GDP,달러,"3,697.40","3,637.60","3,515.60","3,366.30","3,610.00","3,859.00","4,143.00"
실질성장률,%,6,5.6,5,4.9,5,5.1,5.2
실  업  률,%,6.1,6.2,5.9,6.2,5.6,5.5,5.3
소비자물가상승률,%,4.3,6.4,6.4,6.4,3.5,3.8,3.6
재정수지(GDP대비),%,-1.8,-2.2,-2.1,-2.6,-2.5,-2.5,-2.1
총수출,백만 달러,"190,032","182,552","176,292","150,393","144,489","167,640","181,722"
(對韓 수출),〃,"15,050","11,422","10,621","7,650","7,008","8,084","9,054"
총수입,〃,"191,691","186,629","178,179","142,695","135,653","156,925","171,205"
(對韓 수입),〃,"11,970","11,593","11,847","8,427","6,675","8,122","8,528"
무 역 수 지,백만 달러,"-1,659","-4,077","-1,887","7,698","8,836","10,715","10,517"
경 상 수 지,〃,"-24,418","-29,109","-27,510","-17,520","-16,952","-17,293","-20,529"
환율(연평균),현지국/US$,"9,670","12,189","12,440","13,795","13,436","13,377","14,186"
해외직접투자,억 달러,54.2,66.5,70.8,59.4,-12.2,29.1,n/a
