주   요   지   표 ,단   위,2013,2014,2015,2016,2017,2018,2019
인        구,백만 명,15,15.3,15.5,15.8,16,16.2,16.5
명목GDP,십억 달러,15.4,16.8,18.1,20.1,22.2,24.3,26.6
1인당 명목GDP,달러,"1,028","1,098","1,163","1,269","1,309","1,450","1,621"
실질성장률,%,7.4,7.1,7,6.9,7,7,6.9
실  업  률,%,0.3,0.1,0.18,0.26,0.3,-,-
소비자물가상승률,%,4.6,1.1,2.8,3.9,2.6,3,3.2
재정수지(GDP대비),%,-7.1,-3.8,-2.6,-0.9,-1.9,-3.7,-
총수출,백만 달러,"6,530","7,407","8,453","9,233",10077,"11,396",-
(對韓 수출),〃,94,123,137,164,-,-,-
총수입,〃,"9,749","10,163","11,920","12,649","14,329","15,756",-
(對韓 수입),〃,370,390,460,439,-,-,-
무 역 수 지,백만 달러,"-3,219","-3,206","-3,467","-3,416","-3,862","-4,360",-
경 상 수 지,〃,"-1,983","-1,640","-1,693","-1,780","-2,015","-2,376",-
환율(연평균),현지국/US$,"3,995","4,075","4,052","4,045","4,109","4,048","4,063"
해외직접투자,억 달러,1.34,1.73,1.7,2.15,-,-,-
외국인직접투자,백만 달러,"4,496","1,604","3,920","3,249","4,909",-,-
