주   요   지   표 ,단   위,2013,2014,2015,2016,2017,2018,2019
인        구,백만 명,68.297,68.657,68.838,68.981,69.095,69.182,69.251
명목GDP,십억 달러,420.3,407.3,401.4,411.8,455.4,490.1,524.3
1인당 명목GDP,달러,"6,155","5,933","5,831","5,970","6,591","7,084","7,570"
실질성장률,%,2.7,1,3,3.3,3.9,4.6,3.9
실  업  률,%,0.7,0.8,0.9,0.8,0.7,0.7,0.7
소비자물가상승률,%,2.2,1.9,-0.9,0.2,0.7,0.9,0.9
재정수지(GDP대비),%,-2.2,-2,-0.4,-2.7,-2.5,-2.3,-2.6
총수출,십억 달러,227.5,226.6,214,214.3,235.3,256,276
(對韓 수출),〃,4.6,4.5,4.1,4.1,4.6,5.1,5.5
총수입,〃,227.4,209.4,187.2,177.7,201.1,231,247
(對韓 수입),〃,9.1,8.5,7,7.3,8,8.4,9
무 역 수 지,백만 달러,0.1,17.2,26.8,36.5,34.2,25,29
경 상 수 지,〃,"-4,861","15,224","32,111","48,237","51,078","44,819","42,516"
환율(연평균),현지국/US$,30.7,32.5,34.3,35.3,33.9,32.5,32
해외직접투자,억 달러,990.5,885.9,848.5,877.4,"1,026.50",-,-
외국인직접투자,억 달러,915.7,698.6,554.4,574.4,551.4,-,-
