주   요   지   표 ,단   위,2013,2014,2015,2016,2017,2018
인        구,백만 명,97.1,100.1,101.7,103.3,104.9,106.5
명목GDP,십억 달러,250.1,284.1,292.3,304.5,312.7,335.5
1인당 명목GDP,달러,"2,278","2,838","2,874","2,948","2,981","3,150"
실질성장률,%,6.6,6.1,6.1,6.9,6.6,5.7
실  업  률,%,7.2,6.8,6.3,5.5,5.6,5.4
소비자물가상승률,%,3.5,4.2,1.4,1.8,3,2.2
재정수지(GDP대비),%,0.6,-0.6,-0.9,-2.4,-2.7,-2.5
총수출,백만 달러,"46,384","49,823","43,197","43,444","53,472","57,347"
(對韓 수출),〃,"3,284","3,331","3,252","3,229","2,540","1,388(7월)"
총수입,〃,"65,311","67,155","66,507","77,524","90,654","95,561"
(對韓 수입),〃,"8,211","10,032","8,318","7,279","8,073","6,257(7월)"
무 역 수 지,백만 달러,"-18,927","-17,331","-23,309","-34,079","-37,181","-38,215"
경 상 수 지,〃,"6,948","10,756","7,266",602,450,"1,660"
환율(연평균),현지국/US$,42.2,44.4,45.4,47.49,50.51,51.63
외국인직접투자,억 달러,32,41,57,79,91,-
